,episode_score,mean_reward,episode_step
147,-289.569,-3.0805213,94.0
148,-38.108353,-0.27816316,137.0
149,-265.0822,-2.2275817,119.0
150,-234.4927,-2.4683444,95.0
151,-204.06384,-2.4586005,83.0
152,-266.3123,-2.9922729,89.0
153,-262.72238,-2.708478,97.0
154,-271.74023,-3.396753,80.0
155,-250.77858,-2.6122768,96.0
156,-423.95245,-3.9621725,107.0
157,-82.012344,-0.73884994,111.0
158,-169.49454,-1.8625773,91.0
159,-263.16364,-2.7701435,95.0
160,-129.1067,-1.0246563,126.0
161,-199.29434,-1.9538661,102.0
162,-261.95187,-3.4019723,77.0
163,-248.67026,-2.7630029,90.0
164,-301.46234,-3.0761461,98.0
165,-249.64505,-1.9657091,127.0
166,-321.07086,-3.2107086,100.0
167,-241.9382,-2.4942083,97.0
168,-200.90788,-2.480344,81.0
169,-144.05254,-1.3462853,107.0
170,-14.482448,-0.14930359,97.0
171,-242.62944,-1.8808483,129.0
172,-185.32863,-2.0365784,91.0
173,-267.11325,-3.5146482,76.0
174,-217.76595,-2.292273,95.0
175,-346.0086,-3.5307,98.0
176,-61.69969,-0.64270514,96.0
177,-242.00227,-3.06332,79.0
178,-45.331738,-0.45789635,99.0
179,-203.69682,-2.1902883,93.0
180,-258.5248,-3.0061026,86.0
181,-171.08037,-1.6938651,101.0
182,-199.08899,-2.2623749,88.0
183,-339.25955,-3.6091442,94.0
184,-249.14948,-3.0759196,81.0
185,-264.14362,-2.8402538,93.0
186,-272.44144,-2.8678045,95.0
187,-112.57957,-0.9705135,116.0
188,-41.049694,-0.2773628,148.0
189,-386.03253,-3.3568046,115.0
190,-249.23479,-2.517523,99.0
191,-267.54138,-3.1109464,86.0
192,-174.82458,-2.2129693,79.0
193,-238.78644,-2.5675962,93.0
194,-306.64487,-3.1290293,98.0
195,-281.36584,-3.0919323,91.0
196,-245.53014,-2.9942698,82.0
197,-192.2701,-2.7467158,70.0
198,-323.3624,-3.6332853,89.0
199,-203.34576,-2.1865137,93.0
200,-182.16682,-2.365803,77.0
201,-406.41162,-3.907804,104.0
202,-216.44728,-2.5767534,84.0
203,-353.3335,-3.533335,100.0
204,-241.01231,-2.619699,92.0
205,-36.218212,-0.22219764,163.0
206,-236.85252,-3.1164806,76.0
207,-243.78682,-2.0486288,119.0
208,-229.7366,-2.3205717,99.0
209,-68.38085,-0.61604375,111.0
210,-224.65819,-1.714948,131.0
211,-242.76553,-3.1123786,78.0
212,-210.80574,-2.7737596,76.0
213,-229.18317,-2.362713,97.0
214,-175.1375,-1.8631649,94.0
215,-208.74698,-2.1973367,95.0
216,-232.50035,-2.3250034,100.0
217,-212.42163,-2.6888814,79.0
218,-554.8218,-5.4394293,102.0
219,-358.99005,-3.7394795,96.0
220,-222.69734,-1.3918583,160.0
221,-256.41623,-2.787133,92.0
222,-224.58849,-3.1632183,71.0
223,-266.9818,-2.8103347,95.0
224,-234.7667,-2.4454865,96.0
225,-260.3393,-2.6565235,98.0
226,-206.41641,-2.752219,75.0
227,-259.0362,-2.87818,90.0
228,-259.85962,-2.7353644,95.0
229,-350.26688,-2.4494185,143.0
230,-325.3274,-3.319667,98.0
231,-213.04538,-3.2279603,66.0
232,-135.47069,-1.0925056,124.0
233,17.21719,0.16554989,104.0
234,-79.839745,-1.0368799,77.0
235,-284.14618,-2.706154,105.0
236,-320.19385,-2.5822084,124.0
237,-258.58395,-2.665814,97.0
238,-296.37857,-3.3300962,89.0
239,-195.89679,-2.0840085,94.0
240,-201.85089,-2.2427876,90.0
241,-294.08868,-3.5864472,82.0
242,-281.0328,-2.9274251,96.0
243,-120.225525,-1.1342031,106.0
244,-212.8663,-2.5043094,85.0
245,-239.68626,-2.2827263,105.0
246,-415.57617,-3.2722535,127.0
247,-284.92505,-3.165834,90.0
248,-299.70377,-2.6759264,112.0
249,-269.00836,-2.8021703,96.0
250,-307.2487,-3.4914622,88.0
251,-131.80989,-0.99855983,132.0
252,-283.92746,-2.6289577,108.0
253,-59.271107,-0.46670163,127.0
254,-283.03287,-2.9482589,96.0
255,-179.66533,-1.4848374,121.0
256,-241.66275,-2.441038,99.0
257,-272.6995,-3.4961474,78.0
258,-253.20705,-2.1641629,117.0
259,-273.70166,-2.88107,95.0
260,-229.59204,-2.4167583,95.0
261,-239.12672,-2.4909034,96.0
262,-231.09332,-3.1228826,74.0
263,-309.49252,-3.8686566,80.0
264,-253.0867,-2.5058088,101.0
265,-227.03226,-2.467742,92.0
266,-434.50974,-4.4337726,98.0
267,-180.25426,-1.8393291,98.0
268,-249.3985,-3.0414453,82.0
269,-359.5828,-3.2105608,112.0
270,-236.7404,-2.7527955,86.0
271,-240.99382,-2.7385662,88.0
272,-253.35141,-3.5683298,71.0
273,-347.67236,-4.1888237,83.0
274,-185.90054,-2.0655615,90.0
275,-223.55305,-3.193615,70.0
276,-288.23972,-3.5151186,82.0
277,-499.20776,-4.579888,109.0
278,-402.1997,-3.8304734,105.0
279,-210.02448,-2.3079612,91.0
280,-243.95331,-1.862239,131.0
281,-199.55365,-2.5259957,79.0
282,-333.35678,-3.3672404,99.0
283,-295.67102,-3.1454363,94.0
284,-237.92879,-2.766614,86.0
285,-304.6553,-3.3850589,90.0
286,-187.46269,-1.6160576,116.0
287,-196.82918,-2.1394475,92.0
288,-220.7438,-3.344603,66.0
